time,tcc_auto,tcc_empi
2026-02-27 00:00:05,87.5,100.0
2026-02-27 00:00:20,87.5,100.0
2026-02-27 00:00:35,87.5,100.0
2026-02-27 00:00:50,87.5,100.0
2026-02-27 00:01:05,87.5,100.0
2026-02-27 00:01:20,87.5,100.0
2026-02-27 00:01:35,87.5,100.0
2026-02-27 00:01:50,87.5,100.0
2026-02-27 00:02:05,87.5,100.0
2026-02-27 00:02:20,87.5,100.0
2026-02-27 00:02:35,87.5,100.0
2026-02-27 00:02:50,87.5,100.0
2026-02-27 00:03:05,87.5,100.0
2026-02-27 00:03:20,87.5,100.0
2026-02-27 00:03:35,87.5,100.0
2026-02-27 00:03:50,87.5,100.0
2026-02-27 00:04:05,87.5,100.0
2026-02-27 00:04:20,87.5,100.0
2026-02-27 00:04:35,87.5,100.0
2026-02-27 00:04:50,87.5,100.0
2026-02-27 00:05:05,87.5,100.0
2026-02-27 00:05:20,87.5,100.0
2026-02-27 00:05:35,87.5,100.0
2026-02-27 00:05:50,87.5,100.0
2026-02-27 00:06:05,87.5,100.0
2026-02-27 00:06:20,87.5,100.0
2026-02-27 00:06:35,87.5,100.0
2026-02-27 00:06:50,87.5,100.0
2026-02-27 00:07:05,87.5,100.0
2026-02-27 00:07:20,87.5,100.0
2026-02-27 00:07:35,87.5,100.0
2026-02-27 00:07:50,87.5,100.0
2026-02-27 00:08:05,87.5,100.0
2026-02-27 00:08:20,87.5,100.0
2026-02-27 00:08:35,87.5,100.0
2026-02-27 00:08:50,87.5,100.0
2026-02-27 00:09:05,87.5,100.0
2026-02-27 00:09:20,87.5,100.0
2026-02-27 00:09:35,87.5,100.0
2026-02-27 00:09:50,87.5,100.0
2026-02-27 00:10:05,87.5,100.0
2026-02-27 00:10:20,87.5,100.0
2026-02-27 00:10:35,87.5,100.0
2026-02-27 00:10:50,87.5,100.0
2026-02-27 00:11:05,87.5,100.0
2026-02-27 00:11:20,87.5,100.0
2026-02-27 00:11:35,87.5,100.0
2026-02-27 00:11:50,87.5,100.0
2026-02-27 00:12:05,87.5,100.0
2026-02-27 00:12:20,87.5,100.0
2026-02-27 00:12:35,87.5,100.0
2026-02-27 00:12:50,87.5,100.0
2026-02-27 00:13:05,87.5,100.0
2026-02-27 00:13:20,87.5,100.0
2026-02-27 00:13:35,87.5,100.0
2026-02-27 00:13:50,87.5,100.0
2026-02-27 00:14:05,87.5,100.0
2026-02-27 00:14:20,87.5,100.0
2026-02-27 00:14:35,87.5,100.0
2026-02-27 00:14:50,87.5,100.0
2026-02-27 00:15:05,87.5,100.0
2026-02-27 00:15:20,87.5,100.0
2026-02-27 00:15:35,87.5,100.0
